Sleep Stage,MeanP_Alpha_F4,MedianF_Alpha_F4,MeanF_Alpha_F4,Spectral Edge_Alpha_F4,PeakF_Alpha_F4,MeanP_Beta_F4,MedianF_Beta_F4,MeanF_Beta_F4,Spectral Edge_Beta_F4,PeakF_Beta_F4,MeanP_Theta_F4,MedianF_Theta_F4,MeanF_Theta_F4,Spectral Edge_Theta_F4,PeakF_Theta_F4,MeanP_Delta_F4,MedianF_Delta_F4,MeanF_Delta_F4,Spectral Edge_Delta_F4,PeakF_Delta_F4,MeanP_Gamma_F4,MedianF_Gamma_F4,MeanF_Gamma_F4,Spectral Edge_Gamma_F4,PeakF_Gamma_F4,MeanP_Alpha_C4,MedianF_Alpha_C4,MeanF_Alpha_C4,Spectral Edge_Alpha_C4,PeakF_Alpha_C4,MeanP_Beta_C4,MedianF_Beta_C4,MeanF_Beta_C4,Spectral Edge_Beta_C4,PeakF_Beta_C4,MeanP_Theta_C4,MedianF_Theta_C4,MeanF_Theta_C4,Spectral Edge_Theta_C4,PeakF_Theta_C4,MeanP_Delta_C4,MedianF_Delta_C4,MeanF_Delta_C4,Spectral Edge_Delta_C4,PeakF_Delta_C4,MeanP_Gamma_C4,MedianF_Gamma_C4,MeanF_Gamma_C4,Spectral Edge_Gamma_C4,PeakF_Gamma_C4,MeanP_Alpha_O2,MedianF_Alpha_O2,MeanF_Alpha_O2,Spectral Edge_Alpha_O2,PeakF_Alpha_O2,MeanP_Beta_O2,MedianF_Beta_O2,MeanF_Beta_O2,Spectral Edge_Beta_O2,PeakF_Beta_O2,MeanP_Theta_O2,MedianF_Theta_O2,MeanF_Theta_O2,Spectral Edge_Theta_O2,PeakF_Theta_O2,MeanP_Delta_O2,MedianF_Delta_O2,MeanF_Delta_O2,Spectral Edge_Delta_O2,PeakF_Delta_O2,MeanP_Gamma_O2,MedianF_Gamma_O2,MeanF_Gamma_O2,Spectral Edge_Gamma_O2,PeakF_Gamma_O2
NREM,0.00082,10.61463,14.11122,13.36195,11.86341,0.00063,12.4878,20.48,21.10439,11.86341,0.00135,4.99512,11.98829,10.48976,3.62146,0.00578,1.37366,5.49463,3.37171,1.24878,5.83e-05,28.84683,49.82634,49.95122,49.95122,0.00107,9.24098,13.98634,13.48683,6.36878,0.00076,12.86244,19.85561,20.35512,13.1122,0.00235,4.37073,11.86341,8.24195,3.62146,0.01267,1.24878,5.12,3.24683,0.74927,5.08e-05,22.47805,38.21268,49.82634,49.95122,0.00057,8.36683,14.73561,13.73659,5.36976,0.0004,13.23707,21.97854,22.47805,13.1122,0.00127,4.74537,10.73951,8.11707,4.24585,0.0037,1.62341,5.74439,3.87122,0.62439,4.22e-05,29.5961,49.82634,49.95122,49.95122
NREM,0.00077,9.99024,14.48585,13.73659,10.98927,0.00058,12.73756,20.97951,21.35415,12.11317,0.00147,4.24585,11.61366,9.36585,4.24585,0.01243,1.24878,4.62049,2.49756,1.24878,5.67e-05,29.34634,49.82634,49.95122,49.95122,0.00108,9.86537,14.2361,13.86146,12.4878,0.00083,13.1122,19.98049,20.35512,12.4878,0.00226,4.24585,12.23805,8.49171,3.49659,0.01395,1.37366,4.99512,2.8722,0.74927,5.35e-05,21.6039,36.21463,49.82634,49.95122,0.00046,9.1161,15.23512,14.48585,6.74341,0.00037,13.73659,21.85366,22.7278,13.23707,0.00084,4.87024,11.3639,9.1161,3.74634,0.00246,1.37366,6.2439,3.74634,0.74927,4.14e-05,30.22049,49.82634,49.95122,49.95122
NREM,0.00134,10.73951,13.73659,13.48683,10.98927,0.00103,12.61268,19.85561,20.35512,10.98927,0.00211,4.49561,12.11317,10.73951,3.49659,0.01114,1.24878,5.12,2.99707,0.99902,7.86e-05,25.47512,49.70146,49.95122,49.95122,0.00182,11.11415,13.86146,13.48683,12.86244,0.00155,12.86244,20.23024,20.97951,12.86244,0.00305,4.37073,12.61268,10.61463,3.49659,0.0117,1.49854,5.24488,3.49659,0.74927,9.56e-05,21.72878,31.21951,45.45561,49.95122,0.00082,9.49073,13.86146,13.48683,12.61268,0.00061,12.98732,20.35512,20.85463,12.61268,0.00133,5.36976,12.23805,9.61561,5.61951,0.00289,1.62341,6.36878,4.12098,0.74927,5.27e-05,27.22341,49.70146,49.95122,49.95122
NREM,0.0005,8.36683,15.85951,14.61073,5.74439,0.00038,14.73561,22.97756,23.97659,11.98829,0.00119,4.49561,10.24,8.11707,5.74439,0.00493,1.99805,5.61951,3.24683,1.99805,5.37e-05,33.5922,49.82634,49.95122,49.82634,0.00084,7.9922,15.48488,14.2361,5.74439,0.00062,14.2361,21.47902,22.60293,12.61268,0.00238,3.9961,9.61561,7.49268,3.12195,0.00863,2.12293,5.24488,3.49659,1.99805,5.32e-05,23.47707,36.21463,49.82634,49.82634,0.00045,8.11707,14.98537,13.73659,8.61659,0.0003,13.86146,22.60293,23.47707,13.1122,0.00101,4.87024,9.74049,8.36683,3.9961,0.0026,1.87317,5.86927,3.9961,0.74927,3.81e-05,31.34439,49.70146,49.82634,49.82634
NREM,0.00083,10.36488,14.11122,13.36195,10.86439,0.00063,12.61268,20.35512,20.85463,12.36293,0.00133,5.12,11.98829,10.36488,5.74439,0.00724,1.37366,5.49463,2.8722,1.49854,5.82e-05,29.84585,49.82634,49.82634,49.82634,0.00134,11.11415,13.48683,13.36195,12.61268,0.00103,12.73756,18.60683,18.85659,12.61268,0.00238,4.37073,12.4878,9.86537,2.8722,0.0097,1.74829,5.36976,3.24683,0.74927,5.8e-05,21.22927,35.71512,49.70146,49.82634,0.00058,8.24195,14.2361,13.36195,7.49268,0.00039,12.86244,21.35415,22.10341,12.4878,0.00128,4.87024,10.98927,7.9922,3.62146,0.00306,1.87317,5.86927,3.9961,1.37366,4.06e-05,30.59512,49.70146,49.82634,49.82634
NREM,0.00102,9.99024,13.48683,12.86244,10.61463,0.00071,12.4878,20.23024,20.60488,12.73756,0.00156,5.24488,11.73854,10.36488,3.49659,0.00735,1.37366,5.61951,3.12195,0.99902,5.98e-05,28.4722,49.82634,49.82634,49.82634,0.00154,10.48976,13.48683,13.23707,12.61268,0.00113,12.61268,18.85659,19.10634,12.61268,0.00263,4.37073,12.4878,10.11512,3.49659,0.01023,1.62341,5.49463,3.37171,2.2478,6.09e-05,20.48,33.84195,49.70146,49.82634,0.00062,8.36683,13.86146,13.36195,7.11805,0.00041,12.73756,21.35415,21.97854,12.73756,0.00124,5.12,10.73951,8.49171,5.36976,0.00276,1.37366,6.36878,4.24585,0.62439,4.1e-05,30.47024,49.70146,49.82634,49.82634
NREM,0.0011,10.48976,13.61171,13.1122,11.73854,0.00079,12.23805,19.85561,20.10537,11.73854,0.00172,4.87024,11.86341,10.61463,4.24585,0.01253,1.1239,5.12,2.62244,0.74927,6.23e-05,27.47317,49.82634,49.95122,49.82634,0.0014,9.99024,13.73659,13.48683,12.73756,0.00103,12.73756,18.98146,19.23122,12.73756,0.00263,4.49561,12.36293,9.1161,4.24585,0.01708,0.99902,4.99512,2.8722,0.74927,5.7e-05,20.35512,34.59122,49.70146,49.82634,0.00057,9.36585,14.61073,14.11122,12.73756,0.00045,13.36195,20.85463,21.72878,13.1122,0.00095,5.12,12.11317,9.36585,3.74634,0.00303,1.37366,5.99415,3.62146,0.74927,4.43e-05,28.84683,49.70146,49.82634,49.82634
NREM,0.00085,9.86537,13.86146,13.1122,11.86341,0.00062,12.36293,20.85463,21.35415,11.86341,0.0016,4.62049,11.86341,9.24098,3.24683,0.00729,1.49854,5.36976,3.24683,0.74927,5.88e-05,30.22049,49.82634,49.95122,49.95122,0.0012,9.49073,13.86146,13.36195,12.61268,0.00085,12.73756,19.23122,19.48098,12.61268,0.00272,4.24585,11.98829,8.24195,4.24585,0.01285,1.49854,5.24488,3.24683,0.74927,5e-05,21.6039,37.46341,49.82634,49.95122,0.00051,8.24195,14.48585,13.61171,5.74439,0.00035,13.23707,21.47902,22.22829,13.23707,0.00109,4.99512,10.36488,8.36683,5.74439,0.00295,1.74829,5.99415,3.87122,0.74927,3.89e-05,32.71805,49.82634,49.95122,49.95122
NREM,0.00092,10.11512,13.73659,12.98732,11.23902,0.00067,12.23805,20.48,20.97951,12.73756,0.00143,4.99512,11.61366,10.36488,4.24585,0.00867,1.1239,5.36976,2.8722,1.37366,5.95e-05,29.47122,49.82634,49.95122,49.95122,0.00126,10.61463,13.61171,13.23707,12.36293,0.00095,12.4878,19.23122,19.48098,12.73756,0.00189,4.99512,12.23805,10.73951,2.8722,0.01315,0.99902,5.24488,2.74732,0.62439,5.29e-05,20.35512,36.21463,49.82634,49.95122,0.00061,8.61659,13.98634,13.36195,6.49366,0.00042,12.86244,21.10439,21.72878,12.73756,0.0012,4.87024,10.98927,8.74146,4.74537,0.00281,1.62341,6.2439,4.12098,0.62439,4.13e-05,29.84585,49.82634,49.95122,49.95122
NREM,0.00077,9.1161,13.86146,13.1122,6.61854,0.00052,12.4878,21.47902,22.22829,12.36293,0.00155,4.49561,11.11415,8.99122,2.99707,0.00831,1.37366,5.24488,2.99707,0.87415,5.51e-05,32.46829,49.82634,49.95122,49.95122,0.00102,9.36585,13.61171,13.36195,12.36293,0.00071,12.86244,20.48,20.85463,13.23707,0.00231,4.12098,11.73854,8.61659,2.62244,0.0129,1.37366,4.74537,3.12195,0.87415,4.77e-05,23.3522,37.33854,49.82634,49.95122,0.00055,8.24195,14.2361,13.36195,6.36878,0.00036,12.98732,21.97854,22.47805,12.61268,0.00127,4.62049,10.24,8.24195,4.37073,0.00361,1.62341,5.86927,3.87122,1.37366,3.93e-05,30.59512,49.82634,49.95122,49.95122
NREM,0.00083,9.49073,13.98634,13.1122,10.73951,0.00057,12.4878,20.48,21.22927,11.73854,0.00173,4.12098,11.3639,8.86634,3.74634,0.01216,1.37366,4.74537,2.74732,1.1239,5.47e-05,31.46927,49.82634,49.95122,49.95122,0.00121,9.74049,13.61171,13.23707,12.73756,0.00086,12.73756,19.10634,19.3561,12.73756,0.00258,3.9961,11.98829,8.61659,3.87122,0.01588,1.24878,4.74537,2.99707,1.1239,5.05e-05,21.72878,36.33951,49.82634,49.95122,0.00048,8.49171,14.86049,13.73659,8.11707,0.00036,13.23707,21.97854,22.60293,12.86244,0.00098,4.87024,11.23902,8.24195,4.87024,0.00329,1.62341,5.74439,3.49659,0.62439,4.02e-05,31.09463,49.82634,49.95122,49.95122
NREM,0.00074,9.99024,14.11122,13.36195,10.86439,0.00055,12.4878,21.22927,21.72878,12.23805,0.00138,4.87024,11.73854,9.49073,5.86927,0.00519,1.62341,5.61951,3.24683,0.99902,5.58e-05,30.09561,49.82634,49.95122,49.95122,0.00098,9.1161,14.11122,13.61171,12.61268,0.00069,12.86244,20.23024,20.48,12.61268,0.0022,4.37073,11.48878,8.36683,4.74537,0.01112,1.1239,5.12,3.12195,0.99902,4.66e-05,22.60293,37.83805,49.82634,49.95122,0.00059,7.86732,14.2361,13.36195,4.99512,0.00037,12.98732,21.97854,22.35317,12.61268,0.00136,4.87024,10.24,7.9922,4.99512,0.00358,1.37366,5.99415,4.12098,0.62439,4.01e-05,30.34537,49.70146,49.95122,49.95122
NREM,0.00094,9.1161,13.61171,12.98732,11.3639,0.0006,12.23805,20.97951,21.22927,11.3639,0.00194,4.74537,11.11415,8.86634,5.86927,0.00901,1.74829,5.49463,2.99707,2.37268,5.6e-05,29.72098,49.82634,49.95122,49.95122,0.00119,8.36683,13.73659,13.23707,11.3639,0.00072,12.61268,20.23024,20.48,11.3639,0.00326,3.9961,10.73951,7.74244,2.62244,0.01701,1.87317,4.87024,2.99707,2.12293,4.68e-05,22.7278,39.21171,49.82634,49.95122,0.00056,7.74244,14.36098,13.61171,5.74439,0.00034,13.48683,21.85366,22.35317,13.86146,0.00127,5.12,9.61561,8.11707,4.49561,0.00342,1.62341,5.99415,3.9961,0.87415,3.81e-05,32.09366,49.82634,49.95122,49.95122
NREM,0.00073,9.74049,14.11122,13.48683,11.48878,0.00053,12.4878,20.85463,21.35415,12.11317,0.00115,5.49463,11.61366,10.11512,5.74439,0.00393,1.62341,6.11902,3.24683,0.74927,5.27e-05,31.59415,49.82634,49.95122,49.95122,0.00111,9.49073,13.73659,13.36195,12.23805,0.00077,12.61268,19.48098,19.85561,12.73756,0.00199,4.99512,12.11317,9.24098,5.74439,0.00701,1.74829,5.86927,3.37171,0.62439,4.72e-05,22.10341,37.71317,49.82634,49.95122,0.0006,7.74244,14.11122,13.1122,5.74439,0.00035,12.86244,21.97854,22.35317,12.4878,0.00148,4.74537,9.49073,7.86732,3.74634,0.00342,1.74829,5.86927,4.12098,1.24878,3.84e-05,30.84488,49.82634,49.95122,49.95122
